condition,step,avg_verifications,avg_backtracking,avg_subgoals,avg_backwards,total_verifications,total_backtracking,total_subgoals,total_backwards,accuracy,response_length
base_ppo,0,0.62109375,0.6484375,0.5390625,0.0654296875,636,664,552,67,0.005859375,2046.7509765625
base_ppo,10,0.203125,0.173828125,0.0791015625,0.0625,208,178,81,64,0.0771484375,349.6044921875
base_ppo,20,0.458984375,0.4462890625,0.0361328125,0.015625,470,457,37,16,0.1552734375,320.16796875
base_ppo,30,5.625,2.935,0.0,0.01,1125,587,0,2,0.255,1280.145
base_ppo,40,7.0,4.225,0.0,0.005,1400,845,0,1,0.355,1416.535
base_ppo,50,10.44921875,7.0380859375,0.0029296875,0.0009765625,10700,7207,3,1,0.494140625,1777.7529296875
base_ppo,60,11.56640625,8.6123046875,0.0,0.00390625,11844,8819,0,4,0.5009765625,1723.0107421875
base_ppo,70,8.654296875,7.6669921875,0.0,0.001953125,8862,7851,0,2,0.58203125,1417.92578125
base_ppo,80,5.05,4.865,0.0,0.01,1010,973,0,2,0.52,974.495
base_ppo,90,5.07,4.395,0.0,0.005,1014,879,0,1,0.495,995.06
base_ppo,100,6.01,4.945,0.0,0.015,1202,989,0,3,0.515,1036.03
base_ppo,110,7.48,3.855,0.0,0.0,1496,771,0,0,0.5,1064.755
base_ppo,120,7.71,3.285,0.0,0.0,1542,657,0,0,0.535,1026.43
base_ppo,130,5.82,3.47,0.0,0.01,1164,694,0,2,0.525,1026.165
base_ppo,140,3.82,3.51,0.0,0.005,764,702,0,1,0.54,1048.91
base_ppo,150,0.8623046875,3.4599609375,0.0,0.0068359375,883,3543,0,7,0.61328125,1260.591796875
base_ppo,160,0.32,3.02,0.0,0.0,64,604,0,0,0.515,1139.76
base_ppo,170,0.245,2.86,0.0,0.01,49,572,0,2,0.515,975.045
base_ppo,180,0.29,2.115,0.0,0.02,58,423,0,4,0.555,841.585
base_ppo,190,0.3,1.33,0.0,0.065,60,266,0,13,0.545,723.325
base_ppo,200,0.18,2.055,0.0,0.035,36,411,0,7,0.57,714.005
base_ppo,210,0.115,1.66,0.0,0.03,23,332,0,6,0.51,688.835
base_ppo,220,0.245,1.96,0.0,0.065,49,392,0,13,0.51,732.035
base_ppo,230,0.26,1.06,0.0,0.005,52,212,0,1,0.53,754.235
base_ppo,240,0.27,1.74,0.0,0.02,54,348,0,4,0.535,812.66
backtracking_subgoal,0,0.0771484375,2.9658203125,3.78125,0.021484375,79,3037,3872,22,0.1865234375,595.5283203125
backtracking_subgoal,10,0.335,3.845,4.12,0.045,67,769,824,9,0.4716796875,717.4384765625
backtracking_subgoal,20,0.415,5.06,4.31,0.055,83,1012,862,11,0.5625,835.4462890625
backtracking_subgoal,30,0.475,4.795,4.015,0.095,95,959,803,19,0.6005859375,807.470703125
backtracking_subgoal,40,0.49,4.115,3.545,0.05,98,823,709,10,0.6337890625,773.55078125
backtracking_subgoal,50,0.48,4.83,3.235,0.065,96,966,647,13,0.6533203125,739.73828125
backtracking_subgoal,60,0.47,4.885,3.04,0.03,94,977,608,6,0.6826171875,720.705078125
backtracking_subgoal,100,0.555,4.4,2.755,0.085,111,880,551,17,0.72265625,743.3974609375
backtracking_subgoal,110,0.47,3.635,2.655,0.105,94,727,531,21,0.7353515625,714.49609375
backtracking_subgoal,120,0.475,3.93,2.81,0.09,95,786,562,18,0.7255859375,702.751953125
backtracking_subgoal,130,0.62,3.38,2.35,0.055,124,676,470,11,0.732421875,666.921875
backtracking_subgoal,140,0.605,4.085,2.605,0.055,121,817,521,11,0.701171875,683.12109375
backtracking_subgoal,150,0.5,4.275,2.745,0.055,100,855,549,11,0.7197265625,667.5400390625
backtracking_subgoal,160,0.56,3.22,2.31,0.05,112,644,462,10,0.71484375,657.7314453125
backtracking_subgoal,170,0.555,3.59,2.295,0.095,111,718,459,19,0.724609375,660.95703125
backtracking_subgoal,180,0.545,4.135,2.72,0.05,109,827,544,10,0.73046875,673.4921875
backtracking_subgoal,190,0.54,4.15,2.69,0.03,108,830,538,6,0.732421875,664.5625
backtracking_subgoal,200,0.525,4.415,2.785,0.075,105,883,557,15,0.720703125,640.189453125
backtracking_subgoal,210,0.505,3.215,2.425,0.045,101,643,485,9,0.724609375,630.6611328125
backtracking_subgoal,220,0.53,3.395,2.465,0.055,106,679,493,11,0.7265625,624.216796875
backtracking_subgoal,230,0.54,3.74,2.64,0.045,108,748,528,9,0.7177734375,639.435546875
backtracking_subgoal,240,0.57,3.325,2.44,0.055,114,665,488,11,0.7421875,637.125
backtracking_subgoal,250,0.53,3.64,2.54,0.02,106,728,508,4,0.7265625,651.6591796875
backtracking_subgoal,260,0.525,3.715,2.5,0.1,105,743,500,20,0.728515625,630.6904296875
backtracking_subgoal,270,0.53,3.335,2.495,0.04,106,667,499,8,0.7421875,633.099609375
backtracking_backward,0,0.1826171875,2.3515625,1.0439453125,1.9912109375,187,2408,1069,2039,0.2919921875,457.6416015625
backtracking_backward,10,0.465,3.7,0.695,2.23,93,740,139,446,0.517578125,587.6044921875
backtracking_backward,20,0.645,4.38,0.375,2.195,129,876,75,439,0.60546875,671.3017578125
backtracking_backward,30,0.745,4.855,0.285,1.705,149,971,57,341,0.650390625,724.8798828125
backtracking_backward,40,0.845,5.67,0.265,1.54,169,1134,53,308,0.7001953125,725.1845703125
