condition,step,avg_verifications,avg_backtracking,avg_subgoals,avg_backwards,total_verifications,total_backtracking,total_subgoals,total_backwards
base_ppo,10,0.32,0.17,0.07,0.02,64,34,14,4
base_ppo,20,0.655,0.46,0.015,0.015,131,92,3,3
base_ppo,30,5.595,3.38,0.0,0.0,1119,676,0,0
base_ppo,40,7.03,2.875,0.0,0.005,1406,575,0,1
base_ppo,50,6.22,4.66,0.0,0.0,1244,932,0,0
base_ppo,60,7.24,4.93,0.0,0.0,1448,986,0,0
base_ppo,70,5.065,5.195,0.0,0.005,1013,1039,0,1
base_ppo,80,5.015,3.25,0.0,0.02,1003,650,0,4
base_ppo,90,5.595,4.76,0.0,0.005,1119,952,0,1
base_ppo,100,5.27,4.705,0.0,0.005,1054,941,0,1
base_ppo,110,7.29,4.39,0.0,0.0,1458,878,0,0
base_ppo,120,6.855,4.115,0.0,0.005,1371,823,0,1
base_ppo,130,6.655,3.47,0.0,0.005,1331,694,0,1
base_ppo,140,4.49,3.64,0.0,0.01,898,728,0,2
base_ppo,150,0.85,3.415,0.0,0.01,170,683,0,2
base_ppo,160,0.365,3.755,0.0,0.005,73,751,0,1
base_ppo,170,0.315,2.785,0.0,0.025,63,557,0,5
base_ppo,180,0.31,1.83,0.0,0.04,62,366,0,8
base_ppo,190,0.155,1.335,0.0,0.03,31,267,0,6
base_ppo,200,0.215,1.97,0.0,0.145,43,394,0,29
base_ppo,210,0.115,1.66,0.0,0.05,23,332,0,10
base_ppo,220,0.365,2.405,0.0,0.05,73,481,0,10
base_ppo,230,0.225,1.645,0.0,0.025,45,329,0,5
base_ppo,240,0.265,2.205,0.0,0.005,53,441,0,1
backtracking_subgoal,10,0.335,3.845,4.12,0.045,67,769,824,9
backtracking_subgoal,20,0.415,5.06,4.31,0.055,83,1012,862,11
backtracking_subgoal,30,0.475,4.795,4.015,0.095,95,959,803,19
backtracking_subgoal,40,0.49,4.115,3.545,0.05,98,823,709,10
backtracking_subgoal,50,0.48,4.83,3.235,0.065,96,966,647,13
backtracking_subgoal,60,0.47,4.885,3.04,0.03,94,977,608,6
backtracking_subgoal,100,0.555,4.4,2.755,0.085,111,880,551,17
backtracking_subgoal,110,0.47,3.635,2.655,0.105,94,727,531,21
backtracking_subgoal,120,0.475,3.93,2.81,0.09,95,786,562,18
backtracking_subgoal,130,0.62,3.38,2.35,0.055,124,676,470,11
backtracking_subgoal,140,0.605,4.085,2.605,0.055,121,817,521,11
backtracking_subgoal,150,0.5,4.275,2.745,0.055,100,855,549,11
backtracking_subgoal,160,0.56,3.22,2.31,0.05,112,644,462,10
backtracking_subgoal,170,0.555,3.59,2.295,0.095,111,718,459,19
backtracking_subgoal,180,0.545,4.135,2.72,0.05,109,827,544,10
backtracking_subgoal,190,0.54,4.15,2.69,0.03,108,830,538,6
backtracking_subgoal,200,0.525,4.415,2.785,0.075,105,883,557,15
backtracking_subgoal,210,0.505,3.215,2.425,0.045,101,643,485,9
backtracking_subgoal,220,0.53,3.395,2.465,0.055,106,679,493,11
backtracking_subgoal,230,0.54,3.74,2.64,0.045,108,748,528,9
backtracking_subgoal,240,0.57,3.325,2.44,0.055,114,665,488,11
backtracking_subgoal,250,0.53,3.64,2.54,0.02,106,728,508,4
backtracking_subgoal,260,0.525,3.715,2.5,0.1,105,743,500,20
backtracking_subgoal,270,0.53,3.335,2.495,0.04,106,667,499,8
only_backtracking_backward,10,0.465,3.7,0.695,2.23,93,740,139,446
only_backtracking_backward,20,0.645,4.38,0.375,2.195,129,876,75,439
only_backtracking_backward,30,0.745,4.855,0.285,1.705,149,971,57,341
only_backtracking_backward,40,0.845,5.67,0.265,1.54,169,1134,53,308
only_backtracking_backward,50,0.95,5.52,0.19,1.5,190,1104,38,300
only_backtracking_backward,60,0.59,5.49,0.255,1.385,118,1098,51,277
only_backtracking_backward,70,0.685,5.335,0.06,1.32,137,1067,12,264
only_backtracking_backward,80,0.65,4.815,0.075,1.27,130,963,15,254
only_backtracking_backward,90,0.635,5.045,0.145,1.165,127,1009,29,233
only_backtracking_backward,100,0.71,4.87,0.045,1.345,142,974,9,269
only_backtracking_backward,110,0.745,4.955,0.06,1.42,149,991,12,284
only_backtracking_backward,120,0.755,4.17,0.065,1.38,151,834,13,276
only_backtracking_backward,130,0.76,5.395,0.14,1.43,152,1079,28,286
only_backtracking_backward,140,0.72,4.36,0.12,1.535,144,872,24,307
only_backtracking_backward,150,0.79,4.325,0.14,1.465,158,865,28,293
only_backtracking_backward,160,0.69,4.305,0.12,1.49,138,861,24,298
only_backtracking_backward,170,0.59,4.33,0.045,1.645,118,866,9,329
only_backtracking_backward,180,0.635,4.845,0.14,1.465,127,969,28,293
only_backtracking_backward,190,0.61,5.255,0.03,1.525,122,1051,6,305
only_backtracking_backward,200,0.775,3.725,0.14,1.77,155,745,28,354
only_backtracking_backward,210,0.74,4.375,0.115,1.595,148,875,23,319
only_backtracking_backward,220,0.77,4.785,0.055,1.76,154,957,11,352
only_backtracking_backward,230,0.82,4.755,0.07,1.84,164,951,14,368
only_backtracking_backward,240,0.785,4.77,0.1,1.57,157,954,20,314
only_backtracking_backward,250,0.65,4.775,0.075,1.75,130,955,15,350
only_backtracking,20,0.92,5.56,0.07,0.14,184,1112,14,28
only_backtracking,30,0.805,5.0,0.03,0.06,161,1000,6,12
only_backtracking,40,0.89,5.56,0.015,0.115,178,1112,3,23
only_backtracking,50,0.79,5.05,0.025,0.03,158,1010,5,6
only_backtracking,60,0.915,4.465,0.06,0.03,183,893,12,6
only_backtracking,70,0.84,3.21,0.02,0.09,168,642,4,18
only_backtracking,80,0.9,4.535,0.095,0.045,180,907,19,9
only_backtracking,90,0.925,4.64,0.025,0.115,185,928,5,23
only_backtracking,100,0.8,4.165,0.005,0.02,160,833,1,4
only_backtracking,110,0.81,4.15,0.02,0.09,162,830,4,18
only_backtracking,120,0.835,3.925,0.015,0.06,167,785,3,12
only_backtracking,130,0.74,4.775,0.02,0.05,148,955,4,10
only_backtracking,140,0.815,4.065,0.04,0.08,163,813,8,16
only_backtracking,150,0.83,3.98,0.04,0.09,166,796,8,18
only_backtracking,160,0.76,4.37,0.0,0.07,152,874,0,14
only_backtracking,170,0.775,4.93,0.01,0.09,155,986,2,18
only_backtracking,180,0.725,4.915,0.03,0.12,145,983,6,24
only_backtracking,190,0.785,4.535,0.02,0.06,157,907,4,12
only_backtracking,200,0.75,4.16,0.015,0.11,150,832,3,22
only_backtracking,210,0.69,4.53,0.035,0.045,138,906,7,9
only_backtracking,220,0.66,4.525,0.01,0.045,132,905,2,9
only_backtracking,230,0.67,4.185,0.015,0.085,134,837,3,17
only_backtracking,240,0.68,4.645,0.015,0.095,136,929,3,19
only_backtracking,250,0.65,4.825,0.01,0.065,130,965,2,13
backtracking_verification,10,3.6,3.075,0.61,0.1,720,615,122,20
backtracking_verification,20,4.605,5.55,0.205,0.135,921,1110,41,27
backtracking_verification,30,4.875,4.785,0.085,0.11,975,957,17,22
backtracking_verification,40,4.375,5.325,0.2,0.01,875,1065,40,2
backtracking_verification,50,3.61,4.49,0.195,0.065,722,898,39,13
backtracking_verification,60,4.18,4.08,0.13,0.01,836,816,26,2
backtracking_verification,70,3.105,3.85,0.11,0.02,621,770,22,4
backtracking_verification,80,4.09,4.24,0.05,0.065,818,848,10,13
backtracking_verification,90,3.3,3.165,0.05,0.04,660,633,10,8
backtracking_verification,100,3.355,3.705,0.03,0.02,671,741,6,4
backtracking_verification,110,2.825,4.345,0.065,0.025,565,869,13,5
backtracking_verification,120,3.47,3.395,0.02,0.03,694,679,4,6
backtracking_verification,130,4.6,3.85,0.08,0.01,920,770,16,2
backtracking_verification,140,3.25,3.765,0.045,0.035,650,753,9,7
backtracking_verification,150,3.665,3.33,0.015,0.1,733,666,3,20
backtracking_verification,160,3.89,3.585,0.06,0.005,778,717,12,1
backtracking_verification,170,3.38,3.64,0.015,0.04,676,728,3,8
backtracking_verification,180,3.66,3.05,0.02,0.03,732,610,4,6
backtracking_verification,190,3.485,3.49,0.035,0.025,697,698,7,5
backtracking_verification,200,3.1,2.84,0.02,0.035,620,568,4,7
backtracking_verification,210,3.975,3.52,0.0,0.05,795,704,0,10
backtracking_verification,220,4.02,3.06,0.03,0.045,804,612,6,9
backtracking_verification,230,3.625,2.885,0.0,0.02,725,577,0,4
backtracking_verification,240,3.02,3.205,0.015,0.0,604,641,3,0
backtracking_verification,250,3.805,3.57,0.015,0.02,761,714,3,4
backtracking_verification,260,3.34,3.285,0.0,0.005,668,657,0,1
backtracking_verification,270,3.925,2.965,0.025,0.015,785,593,5,3
no_positive_all_strategies,10,2.085,3.605,3.06,1.045,417,721,612,209
no_positive_all_strategies,20,2.64,4.36,1.635,0.84,528,872,327,168
no_positive_all_strategies,100,2.4,3.335,0.275,0.07,480,667,55,14
no_positive_all_strategies,110,3.105,3.91,0.19,0.005,621,782,38,1
no_positive_all_strategies,120,2.63,3.765,0.225,0.0,526,753,45,0
no_positive_all_strategies,130,2.12,3.77,0.165,0.005,424,754,33,1
no_positive_all_strategies,140,2.52,4.2,0.355,0.04,504,840,71,8
no_positive_all_strategies,150,1.71,3.2,0.23,0.025,342,640,46,5
no_positive_all_strategies,160,2.06,2.97,0.275,0.04,412,594,55,8
no_positive_all_strategies,170,2.135,3.505,0.355,0.045,427,701,71,9
no_positive_all_strategies,180,1.655,3.77,0.15,0.005,331,754,30,1
no_positive_all_strategies,190,1.84,3.425,0.275,0.03,368,685,55,6
no_positive_all_strategies,200,2.16,4.055,0.17,0.015,432,811,34,3
no_positive_all_strategies,210,1.93,3.565,0.235,0.04,386,713,47,8
no_positive_all_strategies,220,2.35,4.455,0.32,0.075,470,891,64,15
no_positive_all_strategies,230,1.96,4.42,0.345,0.065,392,884,69,13
no_positive_all_strategies,240,1.785,3.895,0.325,0.04,357,779,65,8
no_positive_all_strategies,250,2.495,4.285,0.27,0.01,499,857,54,2
no_positive_all_strategies,260,2.555,4.155,0.175,0.045,511,831,35,9
no_positive_all_strategies,270,2.715,3.84,0.315,0.025,543,768,63,5
no_positive_all_strategies,280,2.515,3.445,0.23,0.005,503,689,46,1
no_positive_all_strategies,290,2.45,3.625,0.25,0.01,490,725,50,2
all_strategies,10,2.195,3.35,3.045,1.555,439,670,609,311
all_strategies,20,2.745,4.22,2.68,1.72,549,844,536,344
all_strategies,30,2.805,4.435,1.93,1.225,561,887,386,245
all_strategies,40,3.235,3.925,1.51,0.865,647,785,302,173
all_strategies,50,3.295,3.815,0.855,0.785,659,763,171,157
all_strategies,60,3.605,3.88,1.015,0.49,721,776,203,98
all_strategies,70,3.355,3.68,0.875,0.265,671,736,175,53
all_strategies,80,3.35,3.995,0.51,0.145,670,799,102,29
all_strategies,90,4.015,3.855,0.38,0.215,803,771,76,43
all_strategies,100,3.25,3.06,0.41,0.07,650,612,82,14
all_strategies,110,3.65,3.085,0.685,0.085,730,617,137,17
all_strategies,120,3.64,3.675,0.43,0.075,728,735,86,15
all_strategies,130,3.035,3.4,0.34,0.025,607,680,68,5
all_strategies,140,2.95,3.495,0.24,0.02,590,699,48,4
all_strategies,150,3.9,4.125,0.28,0.055,780,825,56,11
all_strategies,160,3.46,3.54,0.38,0.06,692,708,76,12
all_strategies,170,2.995,4.07,0.275,0.005,599,814,55,1
all_strategies,180,2.95,3.24,0.305,0.07,590,648,61,14
all_strategies,190,3.125,3.775,0.245,0.02,625,755,49,4
all_strategies,200,3.05,3.37,0.34,0.055,610,674,68,11
all_strategies,210,3.215,3.42,0.21,0.13,643,684,42,26
all_strategies,220,3.555,3.73,0.26,0.02,711,746,52,4
all_strategies,230,2.865,3.38,0.38,0.04,573,676,76,8
all_strategies,240,3.13,3.805,0.305,0.055,626,761,61,11
all_strategies,250,3.13,3.265,0.355,0.045,626,653,71,9
